岩手銀行,地銀,対応する,2018年度中,検討中,2018年度中,検討中,http://www.iwatebank.co.jp/electronic_settlement.html,
東北銀行,地銀,対応する,2018年12月,2018年12月,2019年3月,2019年3月,http://www.tohoku-bank.co.jp/innovation/index.html,
七十七銀行,地銀,対応する,2018年3月,2018年3月,2018年5月,2018年5月,https://www.77bank.co.jp/pdf/77bank/denshi_kessai_renkei.pdf,
東邦銀行,地銀,対応する,2018年10月,2018年10月,­,­,http://www.tohobank.co.jp/api.html,
群馬銀行,地銀,対応する,2019年4月,2020年3月,2019年4月,2019年10月,https://www.gunmabank.co.jp/renkei.html,
足利銀行,地銀,対応する,2018年9月,2020年6月,2018年9月,2020年6月,http://www.ashikagabank.co.jp/policy/denshi_kessai.html,
常陽銀行,地銀,対応する,2018年9月,2018年9月,2018年9月,2018年9月,http://www.joyobank.co.jp/oshirase/20180301.pdf,
筑波銀行,地銀,対応する,2020年3月,2020年3月,2020年3月,2020年3月,https://www.tsukubabank.co.jp/api/,
武蔵野銀行,地銀,対応する,2019年春,2019年春,­,­,http://www.musashinobank.co.jp/company/api/,
千葉銀行,地銀,対応する,整備済み,整備済み,2018年夏,­,http://www.chibabank.co.jp/news/company/2018/0228_01/pdf/news20180228_01_001.pdf,
千葉興業銀行,地銀,対応する,2018年9月,2019年3月,2018年9月,2019年3月,https://www.chibakogyo-bank.co.jp/other/policy/e-payment.html,
東京都民銀行,地銀,対応する,2018年8月,2019年度中,2018年8月,2019年度中,http://www.tominbank.co.jp/oshirase/pdf/api_20180301.pdf,
横浜銀行,地銀,対応する,2018年3月,2018年3月,2018年5月,2018年5月,http://www.boy.co.jp/renkei/,
第四銀行,地銀,対応する,2018年7月,2018年7月,­,­,https://www.daishi-bank.co.jp/release/pdf/180228-4137.pdf,
北越銀行,地銀,対応する,2018年3月,2018年7月,2018年5月,2018年5月,http://www.hokuetsubank.co.jp/contents/help/gaibukikan_renkei/index.html,
山梨中央銀行,地銀,対応する,2018年12月,2020年2月,2018年12月,2018年12月,https://www.yamanashibank.co.jp/api.html,
八十二銀行,地銀,対応する,2018年10月,検討中,検討中,検討中,https://www.82bank.co.jp/law/denshikessai.html,
北陸銀行,地銀,対応する,2018年3月,2018年3月,2018年5月,2018年5月,http://www.hokugin.co.jp/guideline/api.html,
富山銀行,地銀,対応する,2018年度,­,2018年度,2018年度,http://www.toyamabank.co.jp/pages/collaboration/collaboration.htm,
北國銀行,地銀,対応する,2019年3月,2019年3月,2019年3月,2019年3月,http://www.hokkokubank.co.jp/company/about/api.html ,
福井銀行,地銀,対応する,2019年4月,2019年4月,2019年4月,2019年4月,https://www.fukuibank.co.jp/policy/open_api/,
静岡銀行,地銀,対応する,整備済み,2019年9月,2019年9月,2019年9月,http://www.shizuokabank.co.jp/policy/electronic.html,
スルガ銀行,地銀,対応する,2018年10月,2018年10月,検討中,検討中,https://www.surugabank.co.jp/surugabank/common/denshikessai/,
清水銀行,地銀,対応する,2018年10月,検討中,2018年10月,検討中,https://www.shimizubank.co.jp/uploadfile/docs/20180301電子決済等代行業者との連携及び協働にかかる方針.pdf,
大垣共立銀行,地銀,対応する,2018年9月,検討中,2018年9月,検討中,https://www.okb.co.jp/all/pdf/collaboration.pdf,
十六銀行,地銀,対応する,2018年12月,2019年12月,2018年12月,2019年12月,http://www.juroku.co.jp/denshi_kessai.html,
三重銀行,地銀,対応する,2019年1月,2020年3月,2018年12月,2018年12月,https://www.miebank.co.jp/info/api_hoshin.html,
百五銀行,地銀,対応する,2018年10月,2018年10月,2018年10月,2018年10月,https://www.hyakugo.co.jp/policy/policy_300209_01.html,
滋賀銀行,地銀,対応する,2018年秋,2019年春,2018年秋,検討中,http://www.shigagin.com/personal/support/api_collaboration.html,
京都銀行,地銀,対応する,2019年4月,検討中,2019年4月,2019年4月,https://www.kyotobank.co.jp/api/policy/index.html,
近畿大阪銀行,地銀,対応する,2018年6月,2018年6月,整備済み,2018年6月,http://www.kinkiosakabank.co.jp/util/dendai.html,
池田泉州銀行,地銀,対応する,2018年6月,2019年4月,2018年6月,2019年4月,http://www.sihd-bk.jp/e-payment/index.html,
南都銀行,地銀,対応する,2018年12月,2019年12月,2018年12月,2019年12月,http://www.nantobank.co.jp/denshikessai/,
紀陽銀行,地銀,対応する,2019年3月,検討中,2019年3月,検討中,http://www.kiyobank.co.jp/pdf/e-payments.pdf,
但馬銀行,地銀,対応する,2019年3月,2019年3月,2019年3月,2019年3月,http://tajimabank.co.jp/news/release/news_release_20180301.pdf,
鳥取銀行,地銀,対応する,検討中,検討中,2018年5月,検討中,http://www.tottoribank.co.jp/torigin/news/2018/2018-02-28-3.pdf,
山陰合同銀行,地銀,対応する,2020年春,2020年春,2020年春,2020年春,http://www.gogin.co.jp/www/contents/1519613162021/index.html,
中国銀行,地銀,対応する,2018年10月,2018年10月,検討中,検討中,https://www.chugin.co.jp/inbanhelp/api/dendai.pdf,
広島銀行,地銀,対応する,2018年9月,検討中,2018年6月,検討中,http://www.hirogin.co.jp/rules/torihiki_houshin/renkei-kyodo.html,
